"id","categorie","sous_section","nom","unite","stock_actuel","stock_minimum","statut","cree_par","date_creation","types_mouvements_autorises","longueur","largeur","est_template","actif","couleur"
"460","Clotûre","Tous","Clotûre 120","mètre(s)","0","0","valide","3","""2025-11-06T21:03:04.173Z""","les_deux",,,"false","true",
"461","Clotûre","Tous","Poteaux de tension 120","unité(s)","0","0","valide","3","""2025-11-06T21:04:27.590Z""","les_deux",,,"false","true",
"462","Clotûre","Tous","Poteaux de tension 120 (angle)","unité(s)","0","0","valide","3","""2025-11-06T21:04:47.999Z""","les_deux",,,"false","true",
"463","Clotûre","Tous","Piquets 120","unité(s)","0","0","valide","3","""2025-11-06T21:05:09.297Z""","les_deux",,,"false","true",
"464","Clotûre","Tous","Portail Cloture 120 (piéton)","unité(s)","0","0","valide","3","""2025-11-06T21:05:48.523Z""","les_deux",,,"false","true",
"465","Clotûre","Tous","Portail Cloture 120 (camion)","unité(s)","0","0","valide","3","""2025-11-06T21:06:05.154Z""","les_deux",,,"false","true",
"466","Clotûre","Tous","Clôture 150 ","mètre(s)","80","0","valide","2","""2025-11-07T19:12:10.215Z""","les_deux",,,"false","true",
"467","Clotûre","Tous","Piquets 150","unité(s)","18","0","valide","2","""2025-11-07T19:13:46.082Z""","les_deux",,,"false","true",
"468","Clotûre","Tous","Portail Clôture 150 (piéton)","unité(s)","1","0","valide","2","""2025-11-07T19:15:00.883Z""","les_deux",,,"false","true",
"469","Clotûre","Tous","Poteaux de tension 150","unité(s)","0","0","valide","2","""2025-11-07T19:15:59.371Z""","les_deux",,,"false","true",
"470","Clotûre","Tous","Poteaux de tension 150 (angle)","unité(s)","2","0","valide","2","""2025-11-07T19:16:34.924Z""","les_deux",,,"false","true",
"471","Plomberie et Irrigation","Raccords & adaptateurs","UNION JR - DN40/32","unité(s)","1","0","valide","2","""2025-11-07T19:19:28.765Z""","les_deux",,,"false","true",
"472","Plomberie et Irrigation","Raccords & adaptateurs","UNION JR - DN50/32","unité(s)","1","0","valide","2","""2025-11-07T19:20:04.367Z""","les_deux",,,"false","true",
"473","Clotûre","Tous","Enfonce-piquet grillage","unité(s)","2","0","valide","2","""2025-11-07T19:21:52.813Z""","les_deux",,,"false","true",
"474","Clotûre","Tous","Tendeur clôture","unité(s)","30","0","valide","2","""2025-11-07T19:23:58.722Z""","les_deux",,,"false","true",
"475","Clotûre","Tous","Bouteille dilluant","unité(s)","15","0","valide","2","""2025-11-07T19:24:51.950Z""","les_deux",,,"false","true",
"476","Clotûre","Tous","Peinture anti-rouille","unité(s)","1","0","valide","2","""2025-11-07T19:25:47.002Z""","les_deux",,,"false","true",
"477","Clotûre","Tous","Pinceau peinture","unité(s)","6","0","valide","2","""2025-11-07T19:26:16.462Z""","les_deux",,,"false","true",
"478","Plomberie et Irrigation","Raccords & adaptateurs","RACCORD UNION PRESSION DN 32","unité(s)","3","0","valide","2","""2025-12-05T13:47:33.197Z""","les_deux",,,"false","true",
"479","Plomberie et Irrigation","Raccords & adaptateurs","CLAPET LAITON 1''1/2 F","unité(s)","1","0","valide","2","""2025-12-05T13:48:26.345Z""","les_deux",,,"false","true",
"480","Equipements lourds","Tous","KIT TOPO","unité(s)","1","0","valide","2","""2025-12-05T13:48:53.023Z""","les_deux",,,"false","true",
"481","Equipements lourds","Tous","MACHINE A SOUDURE","unité(s)","2","0","valide","2","""2025-12-05T13:49:49.501Z""","les_deux",,,"false","true",
"482","Plomberie et Irrigation","Raccords & adaptateurs","EMBOUT MIX JR 1''- DN 25","unité(s)","0","0","valide","2","""2025-12-05T14:01:06.545Z""","les_deux",,,"false","true",
"483","Plomberie et Irrigation","Raccords & adaptateurs","Embout mix pvc F63xM75 - M2'","unité(s)","5","0","valide","2","""2025-12-05T14:06:44.999Z""","les_deux",,,"false","true",
"484","Plomberie et Irrigation","Raccords & adaptateurs","Embout mix pvc F50xM63 - 1'1/2","unité(s)","2","0","valide","2","""2025-12-05T14:08:01.524Z""","les_deux",,,"false","true",
"485","Plomberie et Irrigation","Raccords & adaptateurs","Embout mix pvc F40xM50 - 1'1/2","unité(s)","2","0","valide","2","""2025-12-05T14:09:06.303Z""","les_deux",,,"false","true",
"486","Plomberie et Irrigation","Raccords & adaptateurs","Embout mix pvc F25xM32 - 1'","unité(s)","1","0","valide","2","""2025-12-05T14:10:11.261Z""","les_deux",,,"false","true",
"487","Equipements lourds","Tous","Compacteur","unité(s)","1","0","valide","1","""2025-12-20T18:06:22.958Z""","les_deux",,,"false","true",
"488","Equipements lourds","Tous","Marteau-piqueur","unité(s)","1","0","valide","1","""2025-12-20T18:06:47.876Z""","les_deux",,,"false","true",
"489","Pompes","Tous","Huile pompes","L","1","0","valide","1","""2025-12-20T18:07:34.060Z""","les_deux",,,"false","true",
"490","Equipements lourds","Tous","Huile Moteurs","L","1","0","valide","1","""2025-12-20T18:08:30.795Z""","les_deux",,,"false","true",
"491","Etanchéité","Géomembranes","Bâche verte 14 x 1.80","mètre(s)","0","0","valide","2","""2025-12-29T14:56:35.823Z""","les_deux",,,"false","true",
"492","Etanchéité","Géomembranes","Bache verte 2.80 x 1.17","unité(s)","0","0","valide","2","""2025-12-29T14:57:56.150Z""","les_deux",,,"false","true",
"493","Etanchéité","Géomembranes","Bâche verte 4 x 2.29","unité(s)","0","0","valide","2","""2025-12-29T14:58:27.379Z""","les_deux",,,"false","true",
"494","Etanchéité","Géomembranes","Bâche verte 2.18 x 1","unité(s)","0","0","valide","2","""2025-12-29T14:58:56.126Z""","les_deux",,,"false","true",
"495","Etanchéité","Géomembranes","Bâche verte 3.60 x 2.14","unité(s)","0","0","valide","2","""2025-12-29T14:59:25.131Z""","les_deux",,,"false","true",
"496","Etanchéité","Géomembranes","Bâche verte 80 x 0.75","unité(s)","0","0","valide","2","""2025-12-29T15:01:47.272Z""","les_deux",,,"false","true",
"497","Electricité","Tous","CABLE H05VVF 3x2.5mm","mètre(s)","98","0","valide","2","""2025-12-30T18:16:40.837Z""","les_deux",,,"false","true",
"498","Plomberie et Irrigation","Bouchons & finitions","BOUCHON PRESSION - DN 50","unité(s)","0","0","valide","2","""2026-01-12T09:56:14.803Z""","les_deux",,,"false","true",
"499","Plomberie et Irrigation","Vannes & régulation","VANNE PRESSION - DN 50","unité(s)","0","0","valide","2","""2026-01-12T09:57:15.078Z""","les_deux",,,"false","true",
"500","Plomberie et Irrigation","Raccords & adaptateurs","CLAPET PVC DN63","unité(s)","3","0","valide","1","""2026-02-06T11:57:46.256Z""","les_deux",,,"false","true",
"501","Etanchéité","Geotextile","Geotextile ( Rouleau de 1.2 X 50 m)","unité(s)","3","0","valide","2","""2026-02-09T21:10:41.040Z""","les_deux",,,"false","true",
